#Position (bp)	Coverage	Std
1.75077635E7	35.191904071353946	33.26924879348466
1.76360255E7	152.25731705415478	88.37587083327439
1.77642875E7	14.65971215168951	0.8909397746170429
1.78925495E7	6.060774040635574	0.16563824853387035
1.80208115E7	2.652344420015281	0.09522277937157311
1.81490735E7	0.0	0.0
1.82773355E7	0.0	0.0
1.84055975E7	0.0	0.0
1.85338595E7	0.23760739735853176	0.020895126738926736
1.86621215E7	0.6267015951723816	0.012487226637016654
1.87903835E7	0.0	0.0
1.89186455E7	0.0	0.0
1.90469075E7	0.0	0.0
1.91751695E7	0.0	0.0
1.93034315E7	0.0	0.0
1.94316935E7	0.0	0.0
1.95599555E7	0.0	0.0
1.96882175E7	0.0	0.0
1.98164795E7	0.0	0.0
1.99447415E7	0.0	0.0
2.00730035E7	0.0	0.0
2.02012655E7	0.0	0.0
2.03295275E7	0.0	0.0
2.04577895E7	0.0	0.0
2.05860515E7	0.0	0.0
2.07143135E7	0.0	0.0
2.08425755E7	0.0023701486020801174	0.06367261229280352
2.09708375E7	0.0	0.0
2.10990995E7	0.0	0.0
2.12273615E7	0.0011694812181316369	0.047876749968413776
2.13556235E7	0.0	0.0
2.14838855E7	0.0	0.0
2.16121475E7	0.0	0.0
2.17404095E7	0.0	0.0
2.18686715E7	0.0	0.0
2.19969335E7	0.0	0.0
2.21251955E7	0.5210038826776442	0.024342085993604354
2.22534575E7	0.0	0.0
2.23817195E7	5.613509847031857E-4	0.02369284669901837
2.25099815E7	0.0029159065038748813	0.0723828422848242
2.26382435E7	0.03423461352544011	0.32790563153904917
2.27665055E7	0.0	0.0
2.28947675E7	5.925371505200294E-4	0.024342085993604354
2.30230295E7	0.0	0.0
2.31512915E7	0.0	0.0
2.32795535E7	0.0	0.0
2.34078155E7	0.0	0.0
2.35360775E7	0.0	0.0
2.36643395E7	0.0	0.0
2.37926015E7	0.0	0.0
2.39208635E7	0.0	0.0
2.40491255E7	0.0011850743010400587	0.034424908148607436
2.41773875E7	0.0	0.0
2.43056495E7	0.0	0.0
2.44339115E7	0.0	0.0
2.45621735E7	0.0011850743010400587	0.034424908148607436
2.46904355E7	0.0	0.0
2.48186975E7	0.0011850743010400587	0.034424908148607436
2.49469595E7	0.0	0.0
2.50752215E7	0.0	0.0
2.52034835E7	0.0	0.0
2.53317455E7	0.22404141522820478	0.02162851098094029
2.54600075E7	0.0752288284916811	0.011168915044326131
2.55882695E7	0.0	0.0
2.57165315E7	0.0	0.0
2.58447935E7	5.535544432489748E-4	0.023527737741843663
2.59730555E7	0.0	0.0
2.61013175E7	0.0	0.0
2.62295795E7	0.0	0.0
2.63578415E7	0.0	0.0
2.64861035E7	0.0	0.0
2.66143655E7	0.0032277681620433178	0.04738569339803674
2.67426275E7	0.0	0.0
2.68708895E7	0.0	0.0
2.69991515E7	0.0	0.0
2.71274135E7	0.0	0.0
2.72556755E7	0.0	0.0
2.73839375E7	0.0	0.0
2.75121995E7	0.0	0.0
2.76404615E7	0.0	0.0
2.77687235E7	0.0	0.0
2.78969855E7	0.0	0.0
2.80252475E7	0.0	0.0
2.81535095E7	0.0	0.0
2.82817715E7	0.0	0.0
2.84100335E7	0.0	0.0
2.85382955E7	0.0011850743010400587	0.04868417198720871
2.86665575E7	0.047278227378334974	0.017659605266495525
2.87948195E7	0.34170681885515586	0.0450233359281033
2.89230815E7	0.3659540627777518	0.03419767854886698
2.90513435E7	0.24311175562520465	0.07129758080149365
2.91796055E7	0.32175546927383014	0.019744038915848642
2.93078675E7	1.0	0.0
2.94361295E7	0.7211566948901468	0.014237628939169742
2.95643915E7	0.0	0.0
2.96926535E7	0.0	0.0
2.98209155E7	0.0	0.0
2.99491775E7	5.925371505200294E-4	0.024342085993604354
3.00774395E7	0.0	0.0
3.02057015E7	0.0	0.0
3.03339635E7	5.925371505200294E-4	0.024342085993604354
3.04622255E7	0.0	0.0
3.05904875E7	0.0	0.0
3.07187495E7	5.847406090658184E-4	0.024181410402741573
3.08470115E7	0.08386739642294679	0.03419767854886698
3.09752735E7	0.0	0.0
3.11035355E7	0.0	0.0
3.12317975E7	0.0	0.0
3.13600595E7	0.0	0.0
3.14883215E7	0.0	0.0
3.16165835E7	0.0	0.0
3.17448455E7	0.0	0.0
3.18731075E7	0.0	0.0
3.20013695E7	0.0	0.0
3.21296315E7	0.0	0.0
3.22578935E7	0.0	0.0
3.23861555E7	0.0	0.0
3.25144175E7	0.0	0.0
3.26426795E7	0.0	0.0
3.27709415E7	0.0	0.0
3.28992035E7	5.925371505200294E-4	0.024342085993604354
3.30274655E7	0.057819151424428124	0.024342085993604354
3.31557275E7	0.0	0.0
3.32839895E7	0.0	0.0
3.34122515E7	0.0	0.0
3.35405135E7	0.0	0.0
3.36687755E7	0.0	0.0
3.37970375E7	0.0	0.0
3.39252995E7	0.0	0.0
3.40535615E7	0.0	0.0
3.41818235E7	0.0	0.0
3.43100855E7	0.0	0.0
3.44383475E7	0.0	0.0
3.45666095E7	0.0	0.0
3.46948715E7	0.0	0.0
3.48231335E7	0.0	0.0
3.49513955E7	0.0029626857526001468	0.05443055899584485
3.50796575E7	0.0023701486020801174	0.05962568995927993
3.52079195E7	0.0017776114515600878	0.04216172970313348
3.53361815E7	0.0	0.0
3.54644435E7	0.0011850743010400587	0.034424908148607436
3.55927055E7	5.925371505200294E-4	0.024342085993604354
